provider,arm,probe_type,event,probe_id,rep,delay_s,prefix_tokens_target,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
openai,openai-inmem,ttl,read,openai-inmem-d240-r0,0,240,4832,2026-07-06T16:57:27+00:00,0,4736,4844,2930.3,0.001486,d_act=242.3
openai,openai-24h,ttl,write,openai-24h-d2400-r2,2,2400,4832,2026-07-06T16:57:30+00:00,0,0,4844,1706.1,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d2400-r2,2,2400,4832,2026-07-06T16:57:31+00:00,4832,0,7,860.1,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d2400-r2,2,2400,4832,2026-07-06T16:57:32+00:00,0,0,4846,622.3,0.002908,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d3600-r2,2,3600,4832,2026-07-06T16:57:34+00:00,4835,0,7,599.7,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d3600-r2,2,3600,4832,2026-07-06T16:57:37+00:00,0,0,4844,770.5,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d3600-r2,2,3600,4832,2026-07-06T16:57:39+00:00,4835,0,7,983.2,0.009677,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d3600-r2,2,3600,4832,2026-07-06T16:57:40+00:00,0,0,4842,600.2,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d7200-r2,2,7200,4832,2026-07-06T16:57:42+00:00,4832,0,7,609.1,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d7200-r2,2,7200,4832,2026-07-06T16:57:44+00:00,0,0,4846,511.2,0.002908,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d7200-r2,2,7200,4832,2026-07-06T16:57:47+00:00,4833,0,7,797.1,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d7200-r2,2,7200,4832,2026-07-06T16:57:48+00:00,0,0,4843,590.6,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d30-r3,3,30,4832,2026-07-06T16:57:51+00:00,4834,0,7,827.5,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d30-r3,3,30,4832,2026-07-06T16:57:52+00:00,0,0,4843,665.9,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d30-r3,3,30,4832,2026-07-06T16:57:54+00:00,4831,0,7,637.4,0.009669,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d30-r3,3,30,4832,2026-07-06T16:57:57+00:00,0,0,4843,1102.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d120-r3,3,120,4832,2026-07-06T16:57:58+00:00,4830,0,7,628.8,0.006045,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d120-r3,3,120,4832,2026-07-06T16:58:00+00:00,0,0,4844,514.1,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d120-r3,3,120,4832,2026-07-06T16:58:03+00:00,4833,0,7,704.9,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d120-r3,3,120,4832,2026-07-06T16:58:04+00:00,0,0,4845,531.4,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r3,3,240,4832,2026-07-06T16:58:06+00:00,4831,0,7,658.8,0.006046,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d240-r3,3,240,4832,2026-07-06T16:58:08+00:00,0,0,4843,561.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r3,3,240,4832,2026-07-06T16:58:11+00:00,4832,0,7,786.7,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d285-r0,0,285,4832,2026-07-06T16:58:12+00:00,0,4834,7,828.3,0.000490,d_act=284.9
openai,openai-inmem,ttl,write,openai-inmem-d240-r3,3,240,4832,2026-07-06T16:58:12+00:00,0,0,4844,685.3,0.002906,model=gpt-4o-mini
openai,openai-24h,ttl,read,openai-24h-d285-r0,0,285,4832,2026-07-06T16:58:14+00:00,0,4736,4843,862.4,0.001485,d_act=285.2
anthropic,anthropic-5m,ttl,write,anthropic-5m-d285-r3,3,285,4832,2026-07-06T16:58:15+00:00,4834,0,7,881.0,0.006050,model=claude-haiku-4-5-20251001
anthropic,anthropic-1h,ttl,read,anthropic-1h-d285-r0,0,285,4832,2026-07-06T16:58:16+00:00,0,4835,7,1537.7,0.000491,d_act=286.0
openai,openai-24h,ttl,write,openai-24h-d285-r3,3,285,4832,2026-07-06T16:58:16+00:00,0,0,4842,597.3,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d285-r3,3,285,4832,2026-07-06T16:58:18+00:00,4832,0,7,617.3,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d30-r3,3,30,4832,2026-07-06T16:58:21+00:00,0,4834,7,761.9,0.000490,d_act=29.9
openai,openai-inmem,ttl,write,openai-inmem-d285-r3,3,285,4832,2026-07-06T16:58:21+00:00,0,0,4844,1154.5,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,read,anthropic-5m-d120-r2,2,120,4832,2026-07-06T16:58:22+00:00,0,4833,7,663.7,0.000490,d_act=119.9
openai,openai-24h,ttl,read,openai-24h-d30-r3,3,30,4832,2026-07-06T16:58:22+00:00,0,4736,4843,672.1,0.001485,d_act=30.0
anthropic,anthropic-5m,ttl,write,anthropic-5m-d315-r3,3,315,4832,2026-07-06T16:58:22+00:00,4834,0,7,690.8,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,read,openai-24h-d120-r2,2,120,4832,2026-07-06T16:58:24+00:00,0,4736,4844,402.7,0.001486,d_act=119.9
openai,openai-24h,ttl,write,openai-24h-d315-r3,3,315,4832,2026-07-06T16:58:24+00:00,0,0,4843,553.1,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d30-r3,3,30,4832,2026-07-06T16:58:24+00:00,0,4831,7,591.5,0.000490,d_act=30.0
openai,openai-inmem,ttl,read,openai-inmem-d285-r0,0,285,4832,2026-07-06T16:58:26+00:00,0,4736,4844,8976.5,0.001486,d_act=292.3
anthropic,anthropic-1h,ttl,read,anthropic-1h-d120-r2,2,120,4832,2026-07-06T16:58:26+00:00,0,4833,7,596.0,0.000490,d_act=119.8
anthropic,anthropic-1h,ttl,write,anthropic-1h-d315-r3,3,315,4832,2026-07-06T16:58:27+00:00,4832,0,7,960.2,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,read,openai-inmem-d120-r2,2,120,4832,2026-07-06T16:58:28+00:00,0,4736,4844,490.1,0.001486,d_act=119.9
openai,openai-inmem,ttl,read,openai-inmem-d30-r3,3,30,4832,2026-07-06T16:58:28+00:00,0,4736,4843,2564.4,0.001485,d_act=31.5
openai,openai-inmem,ttl,write,openai-inmem-d315-r3,3,315,4832,2026-07-06T16:58:28+00:00,0,0,4843,610.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d360-r3,3,360,4832,2026-07-06T16:58:30+00:00,4834,0,7,678.8,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d360-r3,3,360,4832,2026-07-06T16:58:32+00:00,0,0,4843,614.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d360-r3,3,360,4832,2026-07-06T16:58:35+00:00,4833,0,7,800.4,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d360-r3,3,360,4832,2026-07-06T16:58:36+00:00,0,0,4843,490.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d480-r3,3,480,4832,2026-07-06T16:58:39+00:00,4833,0,7,774.0,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d480-r3,3,480,4832,2026-07-06T16:58:41+00:00,0,0,4845,835.2,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d480-r3,3,480,4832,2026-07-06T16:58:43+00:00,4831,0,7,701.5,0.009669,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d480-r3,3,480,4832,2026-07-06T16:58:44+00:00,0,0,4843,660.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d720-r3,3,720,4832,2026-07-06T16:58:47+00:00,4833,0,7,836.2,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d720-r3,3,720,4832,2026-07-06T16:58:48+00:00,0,0,4843,635.9,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,read,anthropic-5m-d315-r0,0,315,4832,2026-07-06T16:58:49+00:00,4834,0,7,599.0,0.006050,d_act=314.8
anthropic,anthropic-1h,ttl,write,anthropic-1h-d720-r3,3,720,4832,2026-07-06T16:58:51+00:00,4833,0,7,1439.5,0.009673,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,read,openai-24h-d315-r0,0,315,4832,2026-07-06T16:58:51+00:00,0,4736,4846,484.9,0.001487,d_act=314.8
openai,openai-inmem,ttl,write,openai-inmem-d720-r3,3,720,4832,2026-07-06T16:58:53+00:00,0,0,4843,703.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d315-r0,0,315,4832,2026-07-06T16:58:54+00:00,0,4833,7,904.4,0.000490,d_act=315.0
anthropic,anthropic-5m,ttl,read,anthropic-5m-d240-r1,1,240,4832,2026-07-06T16:58:55+00:00,0,4833,7,720.9,0.000490,d_act=239.8
anthropic,anthropic-5m,ttl,write,anthropic-5m-d1200-r3,3,1200,4832,2026-07-06T16:58:55+00:00,4834,0,7,762.2,0.006050,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,read,openai-inmem-d315-r0,0,315,4832,2026-07-06T16:58:55+00:00,0,4736,4842,476.5,0.001484,d_act=314.9
openai,openai-24h,ttl,read,openai-24h-d240-r1,1,240,4832,2026-07-06T16:58:56+00:00,0,4736,4842,493.2,0.001484,d_act=239.4
openai,openai-24h,ttl,write,openai-24h-d1200-r3,3,1200,4832,2026-07-06T16:58:56+00:00,0,0,4844,622.5,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d1200-r3,3,1200,4832,2026-07-06T16:58:59+00:00,4832,0,7,770.0,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-1h,ttl,read,anthropic-1h-d240-r1,1,240,4832,2026-07-06T16:58:59+00:00,0,4834,7,861.3,0.000490,d_act=240.0
openai,openai-inmem,ttl,write,openai-inmem-d1200-r3,3,1200,4832,2026-07-06T16:59:00+00:00,0,0,4844,558.5,0.002906,model=gpt-4o-mini
openai,openai-inmem,ttl,read,openai-inmem-d240-r1,1,240,4832,2026-07-06T16:59:00+00:00,0,4736,4844,579.1,0.001486,d_act=240.1
anthropic,anthropic-5m,ttl,write,anthropic-5m-d2400-r3,3,2400,4832,2026-07-06T16:59:02+00:00,4834,0,7,570.9,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d2400-r3,3,2400,4832,2026-07-06T16:59:04+00:00,0,0,4842,628.7,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d2400-r3,3,2400,4832,2026-07-06T16:59:06+00:00,4833,0,7,627.3,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d2400-r3,3,2400,4832,2026-07-06T16:59:09+00:00,0,0,4843,733.5,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d3600-r3,3,3600,4832,2026-07-06T16:59:10+00:00,4833,0,7,629.2,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d3600-r3,3,3600,4832,2026-07-06T16:59:12+00:00,0,0,4843,643.9,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d3600-r3,3,3600,4832,2026-07-06T16:59:15+00:00,4832,0,7,778.6,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d3600-r3,3,3600,4832,2026-07-06T16:59:16+00:00,0,0,4844,472.5,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d7200-r3,3,7200,4832,2026-07-06T16:59:18+00:00,4835,0,7,662.5,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d7200-r3,3,7200,4832,2026-07-06T16:59:20+00:00,0,0,4843,544.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d7200-r3,3,7200,4832,2026-07-06T16:59:24+00:00,4833,0,7,2326.2,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d7200-r3,3,7200,4832,2026-07-06T16:59:24+00:00,0,0,4845,637.5,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d30-r4,4,30,4832,2026-07-06T16:59:27+00:00,4832,0,7,991.3,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d30-r4,4,30,4832,2026-07-06T16:59:29+00:00,0,0,4844,1010.9,0.002906,model=gpt-4o-mini
openai,openai-inmem,ttl,write,openai-inmem-d30-r4,4,30,4832,2026-07-06T16:59:32+00:00,0,0,4842,695.3,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d30-r4,4,30,4832,2026-07-06T16:59:34+00:00,4834,0,7,4261.6,0.009675,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,write,anthropic-5m-d120-r4,4,120,4832,2026-07-06T16:59:34+00:00,4834,0,7,653.0,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d120-r4,4,120,4832,2026-07-06T16:59:36+00:00,0,0,4842,564.4,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d120-r4,4,120,4832,2026-07-06T16:59:39+00:00,4835,0,7,775.3,0.009677,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d120-r4,4,120,4832,2026-07-06T16:59:40+00:00,0,0,4845,567.1,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r4,4,240,4832,2026-07-06T16:59:42+00:00,4834,0,7,632.8,0.006050,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d360-r0,0,360,4832,2026-07-06T16:59:43+00:00,4831,0,7,931.6,0.006046,d_act=359.4
openai,openai-24h,ttl,read,openai-24h-d360-r0,0,360,4832,2026-07-06T16:59:44+00:00,0,0,4848,520.7,0.002909,d_act=359.7
openai,openai-24h,ttl,write,openai-24h-d240-r4,4,240,4832,2026-07-06T16:59:45+00:00,0,0,4846,1123.0,0.002908,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d360-r0,0,360,4832,2026-07-06T16:59:46+00:00,0,4834,7,640.6,0.000490,d_act=359.6
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r4,4,240,4832,2026-07-06T16:59:47+00:00,4832,0,7,878.4,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d285-r1,1,285,4832,2026-07-06T16:59:47+00:00,0,4835,7,595.1,0.000491,d_act=284.8
openai,openai-inmem,ttl,read,openai-inmem-d360-r0,0,360,4832,2026-07-06T16:59:48+00:00,0,4736,4845,512.9,0.001486,d_act=360.0
openai,openai-inmem,ttl,write,openai-inmem-d240-r4,4,240,4832,2026-07-06T16:59:49+00:00,0,0,4843,839.1,0.002906,model=gpt-4o-mini
openai,openai-24h,ttl,read,openai-24h-d285-r1,1,285,4832,2026-07-06T16:59:49+00:00,0,4736,4844,590.6,0.001486,d_act=284.4
anthropic,anthropic-5m,ttl,write,anthropic-5m-d285-r4,4,285,4832,2026-07-06T16:59:51+00:00,4832,0,7,806.7,0.006047,model=claude-haiku-4-5-20251001
anthropic,anthropic-1h,ttl,read,anthropic-1h-d285-r1,1,285,4832,2026-07-06T16:59:52+00:00,0,4832,7,1693.5,0.000490,d_act=284.9
openai,openai-inmem,ttl,read,openai-inmem-d285-r1,1,285,4832,2026-07-06T16:59:53+00:00,0,4736,4843,584.4,0.001485,d_act=285.0
openai,openai-24h,ttl,write,openai-24h-d285-r4,4,285,4832,2026-07-06T16:59:55+00:00,0,0,4845,2866.1,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d285-r4,4,285,4832,2026-07-06T16:59:55+00:00,4833,0,7,1397.6,0.009673,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d30-r4,4,30,4832,2026-07-06T16:59:56+00:00,0,4832,7,510.4,0.000490,d_act=29.5
openai,openai-inmem,ttl,write,openai-inmem-d285-r4,4,285,4832,2026-07-06T16:59:56+00:00,0,0,4843,575.6,0.002906,model=gpt-4o-mini
openai,openai-24h,ttl,read,openai-24h-d30-r4,4,30,4832,2026-07-06T16:59:58+00:00,0,4736,4844,639.8,0.001486,d_act=29.6
anthropic,anthropic-5m,ttl,write,anthropic-5m-d315-r4,4,315,4832,2026-07-06T16:59:59+00:00,4834,0,7,802.3,0.006050,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d120-r3,3,120,4832,2026-07-06T16:59:59+00:00,0,4830,7,1554.5,0.000490,d_act=120.9
openai,openai-24h,ttl,read,openai-24h-d120-r3,3,120,4832,2026-07-06T17:00:00+00:00,0,4736,4844,498.8,0.001486,d_act=120.0
openai,openai-24h,ttl,write,openai-24h-d315-r4,4,315,4832,2026-07-06T17:00:00+00:00,0,0,4843,549.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d30-r4,4,30,4832,2026-07-06T17:00:00+00:00,0,4834,7,622.9,0.000490,d_act=26.4
openai,openai-inmem,ttl,read,openai-inmem-d30-r4,4,30,4832,2026-07-06T17:00:02+00:00,0,4736,4842,647.6,0.001484,d_act=30.0
anthropic,anthropic-1h,ttl,read,anthropic-1h-d120-r3,3,120,4832,2026-07-06T17:00:03+00:00,0,4833,7,764.5,0.000490,d_act=120.1
anthropic,anthropic-1h,ttl,write,anthropic-1h-d315-r4,4,315,4832,2026-07-06T17:00:03+00:00,4835,0,7,1048.7,0.009677,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,read,openai-inmem-d120-r3,3,120,4832,2026-07-06T17:00:04+00:00,0,4736,4845,525.1,0.001486,d_act=120.0
openai,openai-inmem,ttl,write,openai-inmem-d315-r4,4,315,4832,2026-07-06T17:00:04+00:00,0,0,4844,634.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d360-r4,4,360,4832,2026-07-06T17:00:06+00:00,4836,0,7,646.1,0.006052,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d360-r4,4,360,4832,2026-07-06T17:00:08+00:00,0,0,4842,585.1,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d360-r4,4,360,4832,2026-07-06T17:00:11+00:00,4834,0,7,886.8,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d360-r4,4,360,4832,2026-07-06T17:00:13+00:00,0,0,4842,711.2,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d480-r4,4,480,4832,2026-07-06T17:00:15+00:00,4832,0,7,863.1,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d480-r4,4,480,4832,2026-07-06T17:00:17+00:00,0,0,4844,879.6,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d480-r4,4,480,4832,2026-07-06T17:00:19+00:00,4834,0,7,831.4,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d480-r4,4,480,4832,2026-07-06T17:00:21+00:00,0,0,4845,831.5,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d720-r4,4,720,4832,2026-07-06T17:00:23+00:00,4834,0,7,813.5,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d720-r4,4,720,4832,2026-07-06T17:00:24+00:00,0,0,4844,525.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,read,anthropic-5m-d315-r1,1,315,4832,2026-07-06T17:00:26+00:00,4833,0,7,939.2,0.006048,d_act=314.5
anthropic,anthropic-1h,ttl,write,anthropic-1h-d720-r4,4,720,4832,2026-07-06T17:00:27+00:00,4833,0,7,827.7,0.009673,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,read,openai-24h-d315-r1,1,315,4832,2026-07-06T17:00:27+00:00,0,4736,4845,573.7,0.001486,d_act=314.7
openai,openai-inmem,ttl,write,openai-inmem-d720-r4,4,720,4832,2026-07-06T17:00:28+00:00,0,0,4844,609.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d315-r1,1,315,4832,2026-07-06T17:00:29+00:00,0,4832,7,671.8,0.000490,d_act=314.3
anthropic,anthropic-5m,ttl,read,anthropic-5m-d240-r2,2,240,4832,2026-07-06T17:00:31+00:00,0,4833,7,749.7,0.000490,d_act=239.5
anthropic,anthropic-5m,ttl,write,anthropic-5m-d1200-r4,4,1200,4832,2026-07-06T17:00:31+00:00,4835,0,7,802.0,0.006051,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,read,openai-inmem-d315-r1,1,315,4832,2026-07-06T17:00:31+00:00,0,4736,4844,488.6,0.001486,d_act=314.4
openai,openai-24h,ttl,read,openai-24h-d240-r2,2,240,4832,2026-07-06T17:00:32+00:00,0,4736,4843,588.2,0.001485,d_act=240.0
openai,openai-24h,ttl,write,openai-24h-d1200-r4,4,1200,4832,2026-07-06T17:00:33+00:00,0,0,4844,846.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d1200-r4,4,1200,4832,2026-07-06T17:00:35+00:00,4834,0,7,711.0,0.009675,model=claude-haiku-4-5-20251001
anthropic,anthropic-1h,ttl,read,anthropic-1h-d240-r2,2,240,4832,2026-07-06T17:00:35+00:00,0,4834,7,792.8,0.000490,d_act=239.9
openai,openai-inmem,ttl,read,openai-inmem-d240-r2,2,240,4832,2026-07-06T17:00:36+00:00,0,4736,4845,445.9,0.001486,d_act=239.9
openai,openai-inmem,ttl,write,openai-inmem-d1200-r4,4,1200,4832,2026-07-06T17:00:37+00:00,0,0,4843,946.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d2400-r4,4,2400,4832,2026-07-06T17:00:39+00:00,4833,0,7,812.0,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d2400-r4,4,2400,4832,2026-07-06T17:00:40+00:00,0,0,4844,577.8,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d2400-r4,4,2400,4832,2026-07-06T17:00:43+00:00,4832,0,7,1046.6,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d2400-r4,4,2400,4832,2026-07-06T17:00:44+00:00,0,0,4843,555.9,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d3600-r4,4,3600,4832,2026-07-06T17:00:47+00:00,4834,0,7,774.9,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d3600-r4,4,3600,4832,2026-07-06T17:00:49+00:00,0,0,4845,775.5,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d3600-r4,4,3600,4832,2026-07-06T17:00:51+00:00,4834,0,7,1103.1,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d3600-r4,4,3600,4832,2026-07-06T17:00:52+00:00,0,0,4843,663.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d7200-r4,4,7200,4832,2026-07-06T17:00:55+00:00,4833,0,7,812.4,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d7200-r4,4,7200,4832,2026-07-06T17:00:56+00:00,0,0,4846,673.2,0.002908,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d7200-r4,4,7200,4832,2026-07-06T17:00:58+00:00,4833,0,7,636.0,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d7200-r4,4,7200,4832,2026-07-06T17:01:00+00:00,0,0,4845,540.3,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d30-r5,5,30,4832,2026-07-06T17:01:03+00:00,4834,0,7,974.4,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d30-r5,5,30,4832,2026-07-06T17:01:05+00:00,0,0,4843,730.6,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d30-r5,5,30,4832,2026-07-06T17:01:07+00:00,4833,0,7,703.0,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d30-r5,5,30,4832,2026-07-06T17:01:09+00:00,0,0,4845,705.3,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d120-r5,5,120,4832,2026-07-06T17:01:11+00:00,4835,0,7,1614.3,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d120-r5,5,120,4832,2026-07-06T17:01:13+00:00,0,0,4843,1640.1,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d120-r5,5,120,4832,2026-07-06T17:01:15+00:00,4832,0,7,1089.4,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d120-r5,5,120,4832,2026-07-06T17:01:16+00:00,0,0,4843,574.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,read,anthropic-5m-d360-r1,1,360,4832,2026-07-06T17:01:18+00:00,4834,0,7,670.5,0.006050,d_act=360.0
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r5,5,240,4832,2026-07-06T17:01:19+00:00,4831,0,7,713.3,0.006046,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,read,openai-24h-d360-r1,1,360,4832,2026-07-06T17:01:20+00:00,0,4736,4846,508.6,0.001487,d_act=359.6
openai,openai-24h,ttl,write,openai-24h-d240-r5,5,240,4832,2026-07-06T17:01:21+00:00,0,0,4842,748.4,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r5,5,240,4832,2026-07-06T17:01:23+00:00,4832,0,7,818.8,0.009671,model=claude-haiku-4-5-20251001
