column,seed_idx,job,jct_ours_s,jct_lru_s,delta_pct
tracelab,0,29,1195.19,1213.98,1.55
tracelab,0,30,1001.59,1018.45,1.66
tracelab,0,31,1225.43,1253.86,2.27
tracelab,0,32,830.77,840.77,1.19
tracelab,0,33,848.31,867.27,2.19
tracelab,0,34,1366.12,1387.73,1.56
tracelab,0,35,1058.46,1080.45,2.04
tracelab,0,36,1451.09,1491.14,2.69
tracelab,0,37,1541.17,1585.97,2.82
tracelab,0,38,834.94,869.63,3.99
tracelab,0,39,723.22,747.85,3.29
tracelab,0,40,1478.17,1515.7,2.48
tracelab,0,41,1528.55,1575.32,2.97
tracelab,0,42,862.89,860.33,-0.3
tracelab,0,43,1062.2,1075.46,1.23
tracelab,0,44,934.88,951.83,1.78
tracelab,0,45,814.17,827.16,1.57
tracelab,0,46,1126.7,1148.88,1.93
tracelab,0,47,1034.44,1046.89,1.19
tracelab,0,48,989.25,1008.8,1.94
tracelab,0,49,1523.84,1568.94,2.87
tracelab,0,50,1445.97,1480.02,2.3
tracelab,0,51,1367.97,1404.72,2.62
tracelab,0,52,1126.19,1146.63,1.78
tracelab,0,53,1272.63,1286.2,1.06
tracelab,0,54,1268.08,1281.38,1.04
tracelab,0,55,1416.79,1447.36,2.11
tracelab,0,56,934.14,957.55,2.44
tracelab,0,57,892.75,911.68,2.08
tracelab,0,58,909.73,911.99,0.25
tracelab,0,59,1216.87,1234.15,1.4
tracelab,0,60,1312.56,1346.38,2.51
tracelab,0,61,923.03,933.46,1.12
tracelab,0,62,1390.94,1429.25,2.68
tracelab,0,63,971.57,1004.45,3.27
tracelab,0,64,1440.21,1482.0,2.82
tracelab,0,65,839.92,853.05,1.54
tracelab,0,66,1362.63,1394.12,2.26
tracelab,0,67,1600.26,1624.98,1.52
tracelab,0,68,1394.76,1422.63,1.96
tracelab,0,69,904.61,918.18,1.48
tracelab,0,70,1518.64,1546.45,1.8
tracelab,0,71,1029.84,1057.0,2.57
tracelab,0,72,1214.64,1235.7,1.7
tracelab,0,73,1479.14,1525.5,3.04
tracelab,0,74,1311.55,1350.12,2.86
tracelab,0,75,916.35,934.16,1.91
tracelab,0,76,1045.94,1063.65,1.66
tracelab,0,77,1313.99,1339.21,1.88
tracelab,0,78,1149.16,1175.91,2.27
tracelab,0,79,943.13,963.97,2.16
tracelab,0,80,1078.83,1111.27,2.92
tracelab,0,81,1028.49,1041.74,1.27
tracelab,0,82,1007.1,1030.34,2.26
tracelab,0,83,1046.98,1063.62,1.56
tracelab,0,84,1023.97,1056.34,3.06
tracelab,0,85,1420.46,1450.17,2.05
tracelab,0,86,1151.35,1175.57,2.06
tracelab,0,87,942.29,944.47,0.23
tracelab,0,88,1075.09,1102.48,2.48
tracelab,0,89,1028.54,1045.07,1.58
tracelab,0,90,1134.47,1147.4,1.13
tracelab,0,91,1121.77,1159.69,3.27
tracelab,0,92,1200.91,1216.41,1.27
tracelab,0,93,1209.32,1239.14,2.41
tracelab,0,94,891.8,914.91,2.53
tracelab,0,95,1010.49,1027.13,1.62
tracelab,0,96,1249.3,1277.9,2.24
tracelab,0,97,1374.32,1401.44,1.93
tracelab,0,98,1333.84,1371.0,2.71
tracelab,0,99,973.24,984.24,1.12
tracelab,1,0,1567.53,1619.77,3.23
tracelab,1,1,62.49,60.4,-3.47
tracelab,1,2,1250.38,1309.03,4.48
tracelab,1,3,1596.33,1655.7,3.59
tracelab,1,4,66.34,80.39,17.48
tracelab,1,5,293.51,311.73,5.85
tracelab,1,6,194.55,214.0,9.09
tracelab,1,7,1154.09,1193.61,3.31
tracelab,1,8,463.15,460.09,-0.66
tracelab,1,9,754.4,764.04,1.26
tracelab,1,10,805.96,851.73,5.37
tracelab,1,11,946.64,954.99,0.87
tracelab,1,12,993.34,1055.4,5.88
tracelab,1,13,469.99,488.49,3.79
tracelab,1,14,380.84,332.82,-14.43
tracelab,1,15,974.22,1016.86,4.19
tracelab,1,16,1333.48,1388.01,3.93
tracelab,1,17,1267.05,1287.04,1.55
tracelab,1,18,1560.61,1618.7,3.59
tracelab,1,19,726.12,737.24,1.51
tracelab,1,20,1061.59,1090.58,2.66
tracelab,1,21,736.21,746.56,1.39
tracelab,1,22,715.25,742.89,3.72
tracelab,1,23,685.31,716.8,4.39
tracelab,1,24,782.31,803.98,2.7
tracelab,1,25,1497.46,1551.34,3.47
tracelab,1,26,1043.33,1058.16,1.4
tracelab,1,27,760.43,800.85,5.05
tracelab,1,28,762.99,782.82,2.53
tracelab,1,29,1180.76,1218.3,3.08
tracelab,1,30,983.32,1000.57,1.72
tracelab,1,31,1210.26,1246.56,2.91
tracelab,1,32,810.3,829.48,2.31
tracelab,1,33,839.63,860.07,2.38
tracelab,1,34,1338.66,1392.36,3.86
tracelab,1,35,1039.82,1076.6,3.42
tracelab,1,36,1432.59,1480.29,3.22
tracelab,1,37,1519.38,1580.7,3.88
tracelab,1,38,822.63,860.96,4.45
tracelab,1,39,710.09,738.99,3.91
tracelab,1,40,1460.88,1520.63,3.93
tracelab,1,41,1514.75,1570.23,3.53
tracelab,1,42,833.63,857.45,2.78
tracelab,1,43,1036.15,1090.4,4.97
tracelab,1,44,930.65,941.16,1.12
tracelab,1,45,813.04,850.18,4.37
tracelab,1,46,1106.76,1139.12,2.84
tracelab,1,47,1011.35,1041.4,2.89
tracelab,1,48,993.82,1027.16,3.25
tracelab,1,49,1498.34,1559.12,3.9
tracelab,1,50,1420.61,1473.61,3.6
tracelab,1,51,1354.33,1399.41,3.22
tracelab,1,52,1129.57,1166.51,3.17
tracelab,1,53,1257.59,1302.42,3.44
tracelab,1,54,1251.64,1294.5,3.31
tracelab,1,55,1405.63,1444.77,2.71
tracelab,1,56,937.56,968.2,3.17
tracelab,1,57,904.94,928.9,2.58
tracelab,1,58,916.42,940.65,2.58
tracelab,1,59,1210.35,1242.61,2.6
tracelab,1,60,1298.5,1340.79,3.15
tracelab,1,61,910.49,940.12,3.15
tracelab,1,62,1383.97,1430.42,3.25
tracelab,1,63,975.5,998.96,2.35
tracelab,1,64,1425.15,1475.58,3.42
tracelab,1,65,843.08,863.7,2.39
tracelab,1,66,1353.33,1401.9,3.46
tracelab,1,67,1577.33,1623.33,2.83
tracelab,1,68,1374.39,1421.69,3.33
tracelab,1,69,892.64,924.0,3.39
tracelab,1,70,1497.72,1549.26,3.33
tracelab,1,71,1000.39,1029.76,2.85
tracelab,1,72,1199.35,1234.25,2.83
tracelab,1,73,1467.8,1526.24,3.83
tracelab,1,74,1295.73,1333.21,2.81
tracelab,1,75,899.27,932.34,3.55
tracelab,1,76,1041.15,1067.82,2.5
tracelab,1,77,1306.2,1348.99,3.17
tracelab,1,78,1138.9,1194.47,4.65
tracelab,1,79,934.22,962.08,2.9
tracelab,1,80,1077.99,1115.67,3.38
tracelab,1,81,1022.46,1049.36,2.56
tracelab,1,82,999.57,1037.64,3.67
tracelab,1,83,1031.74,1061.59,2.81
tracelab,1,84,1005.38,1042.3,3.54
tracelab,1,85,1407.27,1452.5,3.11
tracelab,1,86,1150.25,1186.34,3.04
tracelab,1,87,911.28,943.47,3.41
tracelab,1,88,1078.39,1117.38,3.49
tracelab,1,89,1019.84,1048.74,2.76
tracelab,1,90,1124.13,1158.34,2.95
tracelab,1,91,1122.16,1156.45,2.96
tracelab,1,92,1179.67,1220.58,3.35
tracelab,1,93,1208.24,1245.81,3.02
tracelab,1,94,889.58,917.03,2.99
tracelab,1,95,1006.0,1035.9,2.89
tracelab,1,96,1244.13,1288.94,3.48
tracelab,1,97,1374.56,1426.4,3.63
tracelab,1,98,1331.79,1372.58,2.97
tracelab,1,99,964.58,979.1,1.48
tracelab,2,0,1563.23,1622.93,3.68
tracelab,2,1,209.68,276.17,24.08
tracelab,2,2,1379.51,1436.05,3.94
tracelab,2,3,1610.75,1667.57,3.41
tracelab,2,4,100.31,109.2,8.14
tracelab,2,5,243.74,265.11,8.06
tracelab,2,6,185.29,185.14,-0.08
tracelab,2,7,1116.73,1181.39,5.47
tracelab,2,8,416.6,468.59,11.1
tracelab,2,9,649.49,749.15,13.3
tracelab,2,10,780.75,818.69,4.63
tracelab,2,11,847.67,953.61,11.11
tracelab,2,12,933.0,1000.55,6.75
tracelab,2,13,445.44,490.51,9.19
tracelab,2,14,355.67,397.94,10.62
tracelab,2,15,933.92,1055.89,11.55
tracelab,2,16,1317.46,1356.58,2.88
tracelab,2,17,1231.88,1274.77,3.37
tracelab,2,18,1568.18,1632.27,3.93
tracelab,2,19,700.02,699.83,-0.03
tracelab,2,20,1005.53,1072.27,6.22
tracelab,2,21,708.96,746.75,5.06
tracelab,2,22,664.35,717.99,7.47
tracelab,2,23,647.04,708.47,8.67
tracelab,2,24,744.18,789.53,5.74
tracelab,2,25,1492.76,1544.18,3.33
tracelab,2,26,1006.98,1047.14,3.84
tracelab,2,27,739.02,781.22,5.4
tracelab,2,28,745.04,788.03,5.45
tracelab,2,29,1166.03,1215.3,4.05
tracelab,2,30,954.2,1007.68,5.31
tracelab,2,31,1192.39,1241.9,3.99
tracelab,2,32,766.65,809.81,5.33
tracelab,2,33,845.35,864.89,2.26
tracelab,2,34,1347.41,1395.95,3.48
tracelab,2,35,1039.04,1078.22,3.63
tracelab,2,36,1440.89,1486.03,3.04
tracelab,2,37,1522.79,1585.88,3.98
tracelab,2,38,827.8,846.96,2.26
tracelab,2,39,730.92,767.41,4.75
tracelab,2,40,1471.87,1523.21,3.37
tracelab,2,41,1517.8,1570.52,3.36
tracelab,2,42,834.83,874.19,4.5
tracelab,2,43,1034.75,1091.85,5.23
tracelab,2,44,911.34,957.5,4.82
tracelab,2,45,802.76,840.62,4.5
tracelab,2,46,1096.88,1145.76,4.27
tracelab,2,47,1011.91,1044.19,3.09
tracelab,2,48,976.87,1024.32,4.63
tracelab,2,49,1515.34,1572.07,3.61
tracelab,2,50,1434.5,1482.88,3.26
tracelab,2,51,1357.41,1405.66,3.43
tracelab,2,52,1120.57,1173.58,4.52
tracelab,2,53,1250.3,1303.08,4.05
tracelab,2,54,1239.48,1290.33,3.94
tracelab,2,55,1403.34,1451.03,3.29
tracelab,2,56,926.5,978.09,5.27
tracelab,2,57,892.21,934.76,4.55
tracelab,2,58,899.57,934.15,3.7
tracelab,2,59,1197.57,1240.3,3.45
tracelab,2,60,1297.19,1341.78,3.32
tracelab,2,61,903.54,936.75,3.55
tracelab,2,62,1382.84,1428.75,3.21
tracelab,2,63,961.02,982.03,2.14
tracelab,2,64,1424.8,1479.01,3.67
tracelab,2,65,827.33,873.96,5.34
tracelab,2,66,1339.65,1392.32,3.78
tracelab,2,67,1590.33,1639.19,2.98
tracelab,2,68,1365.39,1415.66,3.55
tracelab,2,69,890.17,928.04,4.08
tracelab,2,70,1488.18,1541.78,3.48
tracelab,2,71,1017.98,1042.14,2.32
tracelab,2,72,1201.67,1240.7,3.15
tracelab,2,73,1463.08,1519.29,3.7
tracelab,2,74,1294.35,1326.94,2.46
tracelab,2,75,888.51,940.12,5.49
tracelab,2,76,1039.17,1077.85,3.59
tracelab,2,77,1292.64,1341.61,3.65
tracelab,2,78,1137.74,1106.42,-2.83
tracelab,2,79,940.02,969.83,3.07
tracelab,2,80,1075.35,1113.45,3.42
tracelab,2,81,1011.56,1037.85,2.53
tracelab,2,82,997.11,1029.37,3.13
tracelab,2,83,1027.29,1067.99,3.81
tracelab,2,84,1014.04,1051.46,3.56
tracelab,2,85,1408.55,1447.59,2.7
tracelab,2,86,1153.14,1170.65,1.5
tracelab,2,87,912.3,963.34,5.3
tracelab,2,88,1066.3,1087.77,1.97
tracelab,2,89,1015.39,1041.78,2.53
tracelab,2,90,1113.06,1150.49,3.25
tracelab,2,91,1113.54,1154.59,3.56
tracelab,2,92,1175.68,1212.92,3.07
tracelab,2,93,1194.11,1229.98,2.92
tracelab,2,94,881.44,908.66,3.0
tracelab,2,95,996.98,1021.05,2.36
tracelab,2,96,1234.15,1270.46,2.86
tracelab,2,97,1347.31,1401.65,3.88
tracelab,2,98,1318.15,1367.51,3.61
tracelab,2,99,949.57,984.37,3.53
