column,seed_idx,job,jct_ours_s,jct_lru_s,delta_pct
h100_swe,1,25,61.04,63.98,4.6
h100_swe,1,26,100.26,127.13,21.14
h100_swe,1,27,247.76,287.56,13.84
h100_swe,1,28,162.46,194.41,16.43
h100_swe,1,29,326.29,372.92,12.5
h100_swe,1,30,231.96,262.85,11.75
h100_swe,1,31,216.37,258.99,16.46
h100_swe,1,32,154.42,177.29,12.9
h100_swe,1,33,158.74,184.75,14.08
h100_swe,1,34,178.26,213.47,16.49
h100_swe,1,35,163.36,189.01,13.57
h100_swe,1,36,276.6,314.4,12.02
h100_swe,1,37,211.86,239.35,11.49
h100_swe,1,38,249.16,293.38,15.07
h100_swe,1,39,300.6,345.73,13.05
h100_swe,1,40,179.18,212.21,15.56
h100_swe,1,41,222.67,256.08,13.05
h100_swe,1,42,300.82,342.2,12.09
h100_swe,1,43,213.48,250.66,14.83
h100_swe,1,44,160.44,195.99,18.13
h100_swe,1,45,258.55,305.9,15.48
h100_swe,1,46,271.78,308.3,11.85
h100_swe,1,47,163.48,187.42,12.77
h100_swe,1,48,177.92,213.18,16.54
h100_swe,1,49,211.59,249.44,15.17
h100_swe,1,50,209.35,230.99,9.37
h100_swe,1,51,166.39,195.92,15.07
h100_swe,1,52,233.25,275.07,15.2
h100_swe,1,53,308.03,351.48,12.36
h100_swe,1,54,289.73,331.4,12.57
h100_swe,1,55,229.76,269.29,14.68
h100_swe,1,56,182.04,214.32,15.06
h100_swe,1,57,219.14,251.6,12.9
h100_swe,1,58,255.11,296.5,13.96
h100_swe,1,59,394.05,442.13,10.87
h100_swe,1,60,222.46,263.76,15.66
h100_swe,1,61,184.02,213.99,14.0
h100_swe,1,62,201.56,233.93,13.84
h100_swe,1,63,205.76,233.55,11.9
h100_swe,1,64,232.81,262.59,11.34
h100_swe,1,65,252.25,294.1,14.23
h100_swe,1,66,225.71,252.24,10.52
h100_swe,1,67,240.52,269.08,10.61
h100_swe,1,68,259.29,302.05,14.16
h100_swe,1,69,253.45,307.04,17.45
h100_swe,1,70,209.97,243.14,13.64
h100_swe,1,71,258.38,299.81,13.82
h100_swe,1,72,174.79,194.75,10.25
h100_swe,1,73,211.45,239.87,11.85
h100_swe,1,74,205.99,234.05,11.99
h100_swe,1,75,221.46,259.29,14.59
h100_swe,1,76,277.47,314.84,11.87
h100_swe,1,77,230.64,259.59,11.15
h100_swe,1,78,239.18,276.48,13.49
h100_swe,1,79,203.12,232.37,12.58
h100_swe,1,80,171.49,186.62,8.1
h100_swe,1,81,207.04,237.16,12.7
h100_swe,1,82,208.74,244.81,14.73
h100_swe,1,83,246.07,284.29,13.44
h100_swe,1,84,250.6,289.01,13.29
h100_swe,1,85,240.04,279.26,14.05
h100_swe,1,86,279.8,314.35,10.99
h100_swe,1,87,184.88,214.72,13.9
h100_swe,1,88,187.89,217.41,13.58
h100_swe,1,89,223.77,263.06,14.93
h100_swe,1,90,233.28,271.28,14.01
h100_swe,1,91,195.37,230.07,15.09
h100_swe,1,92,212.0,252.95,16.19
h100_swe,1,93,231.5,269.74,14.18
h100_swe,1,94,225.13,266.69,15.58
h100_swe,1,95,172.11,195.79,12.1
h100_swe,1,96,212.94,243.53,12.56
h100_swe,1,97,256.46,296.1,13.39
h100_swe,1,98,237.2,271.89,12.76
h100_swe,1,99,207.98,245.51,15.29
h100_swe,2,0,165.78,188.22,11.93
h100_swe,2,1,153.34,171.01,10.33
h100_swe,2,2,112.81,125.32,9.98
h100_swe,2,3,147.53,175.76,16.06
h100_swe,2,4,174.84,198.47,11.91
h100_swe,2,5,74.66,80.29,7.0
h100_swe,2,6,83.09,91.87,9.56
h100_swe,2,7,119.28,140.58,15.16
h100_swe,2,8,175.61,211.57,16.99
h100_swe,2,9,140.94,156.55,9.97
h100_swe,2,10,57.3,62.75,8.68
h100_swe,2,11,207.94,237.94,12.61
h100_swe,2,12,134.97,154.12,12.43
h100_swe,2,13,93.64,107.18,12.64
h100_swe,2,14,136.77,159.92,14.48
h100_swe,2,15,122.86,140.42,12.5
h100_swe,2,16,167.32,195.15,14.26
h100_swe,2,17,185.82,218.52,14.96
h100_swe,2,18,117.83,135.01,12.72
h100_swe,2,19,199.29,245.43,18.8
h100_swe,2,20,81.58,91.63,10.97
h100_swe,2,21,98.09,109.59,10.49
h100_swe,2,22,201.32,240.25,16.2
h100_swe,2,23,180.82,214.64,15.76
h100_swe,2,24,169.74,207.77,18.31
h100_swe,2,25,49.97,57.53,13.15
h100_swe,2,26,106.44,123.27,13.66
h100_swe,2,27,186.69,229.09,18.51
h100_swe,2,28,137.35,169.21,18.83
h100_swe,2,29,297.37,348.39,14.64
h100_swe,2,30,174.35,214.06,18.55
h100_swe,2,31,159.04,203.07,21.68
h100_swe,2,32,129.45,163.94,21.04
h100_swe,2,33,114.21,150.56,24.14
h100_swe,2,34,151.25,189.29,20.1
h100_swe,2,35,142.24,170.54,16.59
h100_swe,2,36,263.54,303.19,13.08
h100_swe,2,37,169.02,209.89,19.48
h100_swe,2,38,203.32,238.24,14.66
h100_swe,2,39,259.03,303.26,14.58
h100_swe,2,40,184.02,213.82,13.94
h100_swe,2,41,189.24,232.42,18.58
h100_swe,2,42,291.6,336.94,13.46
h100_swe,2,43,198.22,243.05,18.44
h100_swe,2,44,159.45,188.92,15.6
h100_swe,2,45,264.67,303.32,12.74
h100_swe,2,46,246.69,299.33,17.59
h100_swe,2,47,135.04,160.27,15.74
h100_swe,2,48,173.74,213.82,18.74
h100_swe,2,49,170.61,209.7,18.64
h100_swe,2,50,184.39,225.87,18.36
h100_swe,2,51,140.71,167.26,15.87
h100_swe,2,52,216.7,251.96,13.99
h100_swe,2,53,280.68,328.95,14.67
h100_swe,2,54,256.39,308.99,17.02
h100_swe,2,55,194.13,246.88,21.37
h100_swe,2,56,160.36,202.47,20.8
h100_swe,2,57,201.38,249.43,19.26
h100_swe,2,58,261.03,306.37,14.8
h100_swe,2,59,318.19,367.95,13.52
h100_swe,2,60,205.89,248.93,17.29
h100_swe,2,61,174.61,203.65,14.26
h100_swe,2,62,193.25,228.21,15.32
h100_swe,2,63,157.03,192.79,18.55
h100_swe,2,64,209.79,252.41,16.89
h100_swe,2,65,234.26,276.95,15.41
h100_swe,2,66,207.85,241.18,13.82
h100_swe,2,67,208.02,243.33,14.51
h100_swe,2,68,250.73,292.03,14.14
h100_swe,2,69,229.58,276.97,17.11
h100_swe,2,70,186.6,231.97,19.56
h100_swe,2,71,224.04,269.27,16.8
h100_swe,2,72,164.13,195.65,16.11
h100_swe,2,73,168.74,209.73,19.54
h100_swe,2,74,171.56,204.71,16.2
h100_swe,2,75,210.93,252.86,16.58
h100_swe,2,76,243.96,288.03,15.3
h100_swe,2,77,182.43,221.29,17.56
h100_swe,2,78,209.45,251.63,16.76
h100_swe,2,79,174.98,217.26,19.46
h100_swe,2,80,138.07,166.7,17.17
h100_swe,2,81,169.32,208.11,18.64
h100_swe,2,82,195.55,231.77,15.63
h100_swe,2,83,217.19,262.8,17.36
h100_swe,2,84,226.94,268.21,15.39
h100_swe,2,85,200.01,244.82,18.3
h100_swe,2,86,241.29,281.81,14.38
h100_swe,2,87,176.3,203.08,13.19
h100_swe,2,88,162.35,191.56,15.25
h100_swe,2,89,206.79,244.88,15.55
h100_swe,2,90,214.38,257.81,16.85
h100_swe,2,91,171.74,206.62,16.88
h100_swe,2,92,190.65,228.51,16.57
h100_swe,2,93,209.28,249.18,16.01
h100_swe,2,94,183.57,223.05,17.7
h100_swe,2,95,138.95,169.42,17.98
h100_swe,2,96,170.88,211.7,19.28
h100_swe,2,97,214.42,252.22,14.99
h100_swe,2,98,208.92,246.47,15.24
h100_swe,2,99,183.09,221.39,17.3
a100_swe,0,0,601.68,699.35,13.97
a100_swe,0,1,321.52,413.59,22.26
a100_swe,0,2,179.64,245.38,26.79
a100_swe,0,3,630.69,735.29,14.23
a100_swe,0,4,331.18,396.58,16.49
a100_swe,0,5,128.8,166.2,22.5
a100_swe,0,6,111.41,147.95,24.7
a100_swe,0,7,400.59,497.31,19.45
a100_swe,0,8,615.88,756.52,18.59
a100_swe,0,9,623.76,725.0,13.96
a100_swe,0,10,137.93,210.57,34.5
a100_swe,0,11,803.31,901.1,10.85
a100_swe,0,12,579.63,694.27,16.51
a100_swe,0,13,320.51,368.51,13.03
a100_swe,0,14,397.11,482.7,17.73
a100_swe,0,15,325.54,420.86,22.65
a100_swe,0,16,539.13,662.49,18.62
a100_swe,0,17,693.1,800.77,13.45
a100_swe,0,18,471.62,587.77,19.76
a100_swe,0,19,686.02,848.2,19.12
a100_swe,0,20,219.77,318.62,31.02
a100_swe,0,21,353.22,453.43,22.1
a100_swe,0,22,713.25,857.11,16.78
a100_swe,0,23,601.87,759.47,20.75
a100_swe,0,24,696.44,821.91,15.27
a100_swe,0,25,144.4,181.05,20.24
a100_swe,0,26,435.87,526.38,17.19
a100_swe,0,27,803.52,900.56,10.78
a100_swe,0,28,637.64,704.17,9.45
